time,signal
0.00000,-2
0.00833,-2
0.01667,0
0.02500,0
0.03333,0
0.04167,0
0.05000,0
0.05833,0
0.06667,0
0.07500,0
0.08333,0
0.09167,-0
0.10000,-1
0.10833,-1
0.11667,-1
0.12500,-0
0.13333,-0
0.14167,0
0.15000,0
0.15833,0
0.16667,0
0.17500,-0
0.18333,-0
0.19167,-0
0.20000,-0
0.20833,0
0.21667,1
0.22500,1
0.23333,1
0.24167,1
0.25000,1
0.25833,1
0.26667,2
0.27500,1
0.28333,1
0.29167,1
0.30000,1
0.30833,1
0.31667,1
0.32500,1
0.33333,0
0.34167,-0
0.35000,-0
0.35833,-0
0.36667,-0
0.37500,-0
0.38333,-0
0.39167,0
0.40000,0
0.40833,0
0.41667,-0
0.42500,-0
0.43333,-0
0.44167,0
0.45000,0
0.45833,0
0.46667,0
0.47500,0
0.48333,0
0.49167,0
0.50000,-0
0.50833,-0
0.51667,-0
0.52500,-0
0.53333,-0
0.54167,-0
0.55000,-0
0.55833,-0
0.56667,-0
0.57500,-0
0.58333,-0
0.59167,-0
0.60000,-0
0.60833,0
0.61667,0
0.62500,1
0.63333,0
0.64167,0
0.65000,-0
0.65833,-1
0.66667,-1
0.67500,-1
0.68333,-1
0.69167,-1
0.70000,-1
0.70833,-0
0.71667,-0
0.72500,-1
0.73333,-1
0.74167,-1
0.75000,-1
0.75833,-1
0.76667,-1
0.77500,-1
0.78333,-1
0.79167,-1
0.80000,-2
0.80833,-1
0.81667,-1
0.82500,-2
0.83333,-2
0.84167,-1
0.85000,-1
0.85833,-1
0.86667,-1
0.87500,-0
0.88333,-0
0.89167,-0
0.90000,-0
0.90833,-1
0.91667,-1
0.92500,-1
0.93333,-1
0.94167,-2
0.95000,-2
0.95833,-2
0.96667,-2
0.97500,-2
0.98333,-2
0.99167,-2
1.00000,-2
1.00833,-2
1.01667,-2
1.02500,-2
1.03333,-2
1.04167,-2
1.05000,-2
1.05833,-1
1.06667,-1
1.07500,-1
1.08333,-1
