time,signal
0.0,936
0.00833,936
0.01667,807
0.025,814
0.03333,822
0.04167,830
0.05,837
0.05833,845
0.06667,853
0.075,860
0.08333,868
0.09167,875
0.1,883
0.10833,891
0.11667,899
0.125,907
0.13333,915
0.14167,923
0.15,930
0.15833,938
0.16667,946
0.175,954
0.18333,962
0.19167,970
0.2,978
0.20833,986
0.21667,994
0.225,1002
0.23333,1009
0.24167,1017
0.25,1025
0.25833,1032
0.26667,1040
0.275,1047
0.28333,1054
0.29167,1062
0.3,1069
0.30833,1076
0.31667,1083
0.325,1090
0.33333,1097
0.34167,1104
0.35,1112
0.35833,1119
0.36667,1126
0.375,1134
0.38333,1141
0.39167,1148
0.4,1155
0.40833,1161
0.41667,1168
0.425,1174
0.43333,1180
0.44167,1186
0.45,1192
0.45833,1199
0.46667,1205
0.475,1211
0.48333,1217
0.49167,1223
0.5,1228
0.50833,1234
0.51667,1239
0.525,1244
0.53333,1249
0.54167,1255
0.55,1260
0.55833,1265
0.56667,1270
0.575,1276
0.58333,1280
0.59167,1285
0.6,1289
0.60833,1294
0.61667,1298
0.625,1303
0.63333,1307
0.64167,1311
0.65,1315
0.65833,1319
0.66667,1323
0.675,1327
0.68333,1331
0.69167,1334
0.7,1338
0.70833,1341
0.71667,1344
0.725,1347
0.73333,1350
0.74167,1353
0.75,1356
0.75833,1358
0.76667,1361
0.775,1363
0.78333,1365
0.79167,1367
0.8,1369
0.80833,1371
0.81667,1372
0.825,1374
0.83333,1375
0.84167,1376
0.85,1378
0.85833,1379
0.86667,1380
0.875,1381
0.88333,1381
0.89167,1382
0.9,1383
0.90833,1383
0.91667,1384
0.925,1384
0.93333,1384
0.94167,1384
0.95,1384
0.95833,1384
0.96667,1384
0.975,1383
0.98333,1382
0.99167,1381
1.0,1380
1.00833,1379
1.01667,1378
1.025,1376
1.03333,1374
1.04167,1372
1.05,1370
1.05833,1369
1.06667,1367
1.075,1365
1.08333,1363
1.09167,1361
1.1,1359
1.10833,1356
1.11667,1354
1.125,1351
1.13333,1348
1.14167,1345
1.15,1342
1.15833,1338
1.16667,1335
1.175,1331
1.18333,1327
1.19167,1323
1.2,1320
1.20833,1316
1.21667,1311
1.225,1307
1.23333,1302
1.24167,1297
1.25,1293
1.25833,1288
1.26667,1283
1.275,1278
1.28333,1273
1.29167,1268
1.3,1263
1.30833,1258
1.31667,1253
1.325,1248
1.33333,1242
1.34167,1237
1.35,1231
1.35833,1224
1.36667,1218
1.375,1212
1.38333,1206
1.39167,1200
1.4,1194
1.40833,1187
1.41667,1181
1.425,1174
1.43333,1167
1.44167,1161
1.45,1154
