time,signal
12.0,413
12.00833,413
12.01667,413
12.025,413
12.03333,412
12.04167,412
12.05,412
12.05833,413
12.06667,413
12.075,413
12.08333,414
12.09167,414
12.1,414
12.10833,414
12.11667,414
12.125,414
12.13333,414
12.14167,415
12.15,415
12.15833,414
12.16667,414
12.175,414
12.18333,414
12.19167,414
12.2,415
12.20833,415
12.21667,415
12.225,415
12.23333,416
12.24167,416
12.25,416
12.25833,417
12.26667,417
12.275,417
12.28333,417
12.29167,417
12.3,417
12.30833,418
12.31667,418
12.325,418
12.33333,418
12.34167,418
12.35,418
12.35833,418
12.36667,418
12.375,419
12.38333,419
12.39167,420
12.4,420
12.40833,420
12.41667,420
12.425,420
12.43333,420
12.44167,420
12.45,420
12.45833,420
12.46667,420
12.475,420
12.48333,420
12.49167,420
12.5,420
12.50833,420
12.51667,419
12.525,420
12.53333,420
12.54167,420
12.55,420
12.55833,420
12.56667,421
12.575,421
12.58333,421
12.59167,422
12.6,422
12.60833,422
12.61667,422
12.625,422
12.63333,422
12.64167,422
12.65,423
12.65833,422
12.66667,422
12.675,423
12.68333,423
12.69167,423
12.7,423
12.70833,423
12.71667,423
12.725,423
12.73333,423
12.74167,423
12.75,423
12.75833,423
12.76667,423
12.775,423
12.78333,423
12.79167,424
12.8,424
12.80833,424
12.81667,424
12.825,424
12.83333,425
12.84167,425
12.85,425
12.85833,425
12.86667,425
12.875,425
12.88333,425
12.89167,426
12.9,426
12.90833,427
12.91667,427
12.925,427
12.93333,427
12.94167,427
12.95,427
12.95833,427
12.96667,427
12.975,428
12.98333,428
12.99167,428
13.0,428
13.00833,427
13.01667,427
13.025,427
13.03333,426
13.04167,426
13.05,426
13.05833,427
13.06667,427
13.075,427
13.08333,427
13.09167,427
13.1,427
13.10833,427
13.11667,428
13.125,428
13.13333,428
13.14167,428
13.15,428
13.15833,429
13.16667,430
13.175,430
13.18333,431
13.19167,432
13.2,434
13.20833,435
13.21667,437
13.225,439
13.23333,443
13.24167,446
13.25,450
13.25833,455
13.26667,460
13.275,466
13.28333,474
13.29167,482
13.3,491
13.30833,501
13.31667,513
13.325,526
13.33333,541
13.34167,557
13.35,575
13.35833,594
13.36667,615
13.375,638
13.38333,663
13.39167,690
13.4,719
13.40833,749
13.41667,780
13.425,814
13.43333,848
13.44167,885
13.45,923
13.45833,962
13.46667,1002
13.475,1043
13.48333,1085
13.49167,1127
13.5,1170
13.50833,1213
13.51667,1257
13.525,1300
13.53333,1343
13.54167,1386
13.55,1428
13.55833,1468
13.56667,1508
13.575,1547
13.58333,1585
13.59167,1621
13.6,1655
13.60833,1688
13.61667,1719
13.625,1747
13.63333,1774
13.64167,1798
13.65,1820
13.65833,1840
13.66667,1858
13.675,1872
13.68333,1885
13.69167,1895
13.7,1902
13.70833,1907
13.71667,1909
13.725,1909
13.73333,1906
13.74167,1901
13.75,1893
13.75833,1883
13.76667,1871
13.775,1856
13.78333,1839
13.79167,1820
13.8,1800
13.80833,1777
13.81667,1753
13.825,1727
13.83333,1700
13.84167,1671
13.85,1641
13.85833,1610
13.86667,1578
13.875,1545
13.88333,1512
13.89167,1478
13.9,1443
13.90833,1408
13.91667,1373
13.925,1338
13.93333,1303
13.94167,1269
13.95,1235
13.95833,1202
13.96667,1169
13.975,1136
13.98333,1104
13.99167,1073
14.0,1042
14.00833,1012
14.01667,983
14.025,955
14.03333,928
14.04167,902
14.05,876
14.05833,852
14.06667,830
14.075,808
14.08333,787
14.09167,767
14.1,748
14.10833,729
14.11667,712
14.125,695
14.13333,680
14.14167,665
14.15,652
14.15833,639
14.16667,627
14.175,615
14.18333,604
14.19167,594
14.2,584
14.20833,575
14.21667,566
14.225,558
14.23333,550
14.24167,543
14.25,537
14.25833,531
14.26667,525
14.275,519
14.28333,515
14.29167,510
14.3,506
14.30833,502
14.31667,498
14.325,495
14.33333,492
14.34167,488
14.35,485
14.35833,482
14.36667,480
14.375,477
14.38333,475
14.39167,473
14.4,471
14.40833,470
14.41667,468
14.425,467
14.43333,466
14.44167,464
14.45,463
14.45833,462
14.46667,460
14.475,459
14.48333,458
14.49167,457
14.5,456
14.50833,456
14.51667,455
14.525,454
14.53333,453
14.54167,453
14.55,452
14.55833,452
14.56667,452
14.575,452
14.58333,451
14.59167,451
14.6,450
14.60833,449
14.61667,448
14.625,447
14.63333,447
14.64167,446
14.65,446
14.65833,446
14.66667,445
14.675,445
14.68333,445
14.69167,444
14.7,444
14.70833,444
14.71667,444
14.725,444
14.73333,444
14.74167,444
14.75,444
14.75833,443
14.76667,443
14.775,443
14.78333,443
14.79167,443
14.8,443
14.80833,443
14.81667,443
14.825,443
14.83333,442
14.84167,442
14.85,441
14.85833,441
14.86667,441
14.875,441
14.88333,441
14.89167,441
14.9,441
14.90833,441
14.91667,441
14.925,441
14.93333,441
14.94167,442
14.95,442
14.95833,442
14.96667,442
14.975,441
14.98333,441
14.99167,440
15.0,440
15.00833,440
15.01667,440
15.025,440
15.03333,440
15.04167,439
15.05,439
15.05833,439
15.06667,439
15.075,440
15.08333,440
15.09167,440
15.1,440
15.10833,440
15.11667,440
15.125,440
15.13333,440
15.14167,440
15.15,440
15.15833,440
15.16667,441
15.175,441
15.18333,441
15.19167,441
15.2,441
15.20833,440
15.21667,440
15.225,440
15.23333,440
15.24167,440
15.25,440
15.25833,440
15.26667,440
15.275,440
15.28333,439
15.29167,439
15.3,440
15.30833,440
15.31667,440
15.325,440
15.33333,440
15.34167,440
15.35,440
15.35833,440
15.36667,440
15.375,440
15.38333,440
15.39167,441
15.4,441
15.40833,441
15.41667,440
15.425,440
15.43333,440
15.44167,440
15.45,440
15.45833,440
15.46667,440
15.475,440
15.48333,440
15.49167,440
15.5,440
15.50833,440
15.51667,440
15.525,441
15.53333,441
15.54167,441
15.55,441
15.55833,440
15.56667,441
15.575,441
15.58333,441
15.59167,441
15.6,441
15.60833,441
15.61667,441
15.625,441
15.63333,441
15.64167,441
15.65,441
15.65833,441
15.66667,441
15.675,440
15.68333,440
15.69167,440
15.7,440
15.70833,440
15.71667,440
15.725,440
15.73333,440
15.74167,440
15.75,440
15.75833,440
15.76667,440
15.775,440
15.78333,440
15.79167,440
15.8,440
15.80833,440
15.81667,440
15.825,440
15.83333,440
15.84167,440
15.85,440
15.85833,440
15.86667,440
15.875,440
15.88333,440
15.89167,441
15.9,441
15.90833,441
15.91667,441
15.925,441
15.93333,441
15.94167,440
15.95,440
15.95833,440
15.96667,440
15.975,440
15.98333,440
15.99167,440
16.0,441
16.00833,441
16.01667,441
16.025,441
16.03333,441
16.04167,441
16.05,441
16.05833,441
16.06667,441
16.075,441
16.08333,441
16.09167,441
16.1,441
16.10833,441
16.11667,441
16.125,441
16.13333,441
16.14167,441
16.15,441
16.15833,441
16.16667,442
16.175,442
16.18333,442
16.19167,441
16.2,442
16.20833,442
16.21667,442
16.225,442
16.23333,441
16.24167,441
16.25,441
16.25833,441
16.26667,441
