time,signal
12.0,699
12.00833,699
12.01667,700
12.025,700
12.03333,700
12.04167,700
12.05,701
12.05833,701
12.06667,701
12.075,702
12.08333,702
12.09167,702
12.1,702
12.10833,703
12.11667,703
12.125,703
12.13333,704
12.14167,704
12.15,704
12.15833,704
12.16667,704
12.175,705
12.18333,705
12.19167,705
12.2,705
12.20833,705
12.21667,705
12.225,705
12.23333,705
12.24167,706
12.25,706
12.25833,706
12.26667,706
12.275,707
12.28333,707
12.29167,707
12.3,707
12.30833,707
12.31667,707
12.325,708
12.33333,708
12.34167,708
12.35,708
12.35833,708
12.36667,708
12.375,709
12.38333,709
12.39167,709
12.4,709
12.40833,709
12.41667,709
12.425,709
12.43333,710
12.44167,710
12.45,710
12.45833,710
12.46667,710
12.475,710
12.48333,710
12.49167,710
12.5,710
12.50833,710
12.51667,710
12.525,709
12.53333,709
12.54167,709
12.55,709
12.55833,709
12.56667,709
12.575,709
12.58333,709
12.59167,709
12.6,709
12.60833,709
12.61667,709
12.625,709
12.63333,709
12.64167,709
12.65,709
12.65833,709
12.66667,710
12.675,710
12.68333,710
12.69167,710
12.7,710
12.70833,710
12.71667,710
12.725,710
12.73333,711
12.74167,711
12.75,711
12.75833,711
12.76667,712
12.775,712
12.78333,713
12.79167,713
12.8,713
12.80833,713
12.81667,713
12.825,713
12.83333,712
12.84167,712
12.85,712
12.85833,712
12.86667,713
12.875,713
12.88333,713
12.89167,713
12.9,713
12.90833,713
12.91667,713
12.925,713
12.93333,714
12.94167,714
12.95,715
12.95833,715
12.96667,714
12.975,714
12.98333,714
12.99167,714
13.0,714
13.00833,714
13.01667,714
13.025,714
13.03333,714
13.04167,714
13.05,714
13.05833,715
13.06667,715
13.075,715
13.08333,715
13.09167,716
13.1,717
13.10833,718
13.11667,720
13.125,723
13.13333,726
13.14167,730
13.15,734
13.15833,740
13.16667,747
13.175,756
13.18333,766
13.19167,780
13.2,796
13.20833,816
13.21667,840
13.225,869
13.23333,902
13.24167,942
13.25,988
13.25833,1042
13.26667,1105
13.275,1177
13.28333,1259
13.29167,1353
13.3,1459
13.30833,1579
13.31667,1713
13.325,1862
13.33333,2027
13.34167,2209
13.35,2409
13.35833,2627
13.36667,2863
13.375,3118
13.38333,3392
13.39167,3686
13.4,3998
13.40833,4328
13.41667,4677
13.425,5044
13.43333,5427
13.44167,5825
13.45,6237
13.45833,6662
13.46667,7097
13.475,7542
13.48333,7995
13.49167,8454
13.5,8917
13.50833,9381
13.51667,9845
13.525,10307
13.53333,10764
13.54167,11215
13.55,11658
13.55833,12090
13.56667,12510
13.575,12917
13.58333,13307
13.59167,13681
13.6,14037
13.60833,14372
13.61667,14686
13.625,14979
13.63333,15248
13.64167,15494
13.65,15715
13.65833,15911
13.66667,16081
13.675,16225
13.68333,16343
13.69167,16435
