time,signal
12.0,697
12.00833,698
12.01667,698
12.025,699
12.03333,699
12.04167,699
12.05,700
12.05833,700
12.06667,700
12.075,700
12.08333,700
12.09167,700
12.1,700
12.10833,701
12.11667,701
12.125,701
12.13333,701
12.14167,701
12.15,701
12.15833,701
12.16667,701
12.175,702
12.18333,702
12.19167,702
12.2,702
12.20833,702
12.21667,703
12.225,703
12.23333,704
12.24167,704
12.25,704
12.25833,704
12.26667,704
12.275,704
12.28333,703
12.29167,703
12.3,704
12.30833,704
12.31667,705
12.325,705
12.33333,705
12.34167,705
12.35,705
12.35833,705
12.36667,705
12.375,705
12.38333,705
12.39167,705
12.4,706
12.40833,706
12.41667,706
12.425,706
12.43333,705
12.44167,705
12.45,705
12.45833,705
12.46667,706
12.475,706
12.48333,706
12.49167,707
12.5,707
12.50833,707
12.51667,707
12.525,707
12.53333,707
12.54167,707
12.55,707
12.55833,707
12.56667,707
12.575,707
12.58333,707
12.59167,707
12.6,706
12.60833,707
12.61667,707
12.625,707
12.63333,707
12.64167,708
12.65,708
12.65833,708
12.66667,708
12.675,708
12.68333,708
12.69167,707
12.7,707
12.70833,707
12.71667,707
12.725,707
12.73333,707
12.74167,707
12.75,707
12.75833,708
12.76667,708
12.775,708
12.78333,708
12.79167,708
12.8,708
12.80833,708
12.81667,708
12.825,709
12.83333,709
12.84167,708
12.85,709
12.85833,709
12.86667,709
12.875,709
12.88333,709
12.89167,709
12.9,709
12.90833,709
12.91667,709
12.925,710
12.93333,710
12.94167,710
12.95,710
12.95833,710
12.96667,710
12.975,710
12.98333,710
12.99167,709
13.0,709
13.00833,709
13.01667,709
13.025,709
13.03333,709
13.04167,709
13.05,710
13.05833,710
13.06667,710
13.075,710
13.08333,710
13.09167,711
13.1,711
13.10833,712
13.11667,713
13.125,714
13.13333,716
13.14167,718
13.15,720
13.15833,723
13.16667,726
13.175,730
13.18333,734
13.19167,741
13.2,748
13.20833,758
13.21667,770
13.225,784
13.23333,801
13.24167,820
13.25,843
13.25833,869
13.26667,900
13.275,934
13.28333,974
13.29167,1019
13.3,1070
13.30833,1128
13.31667,1193
13.325,1265
13.33333,1346
13.34167,1435
13.35,1532
13.35833,1638
13.36667,1753
13.375,1876
13.38333,2010
13.39167,2152
13.4,2304
13.40833,2465
13.41667,2635
13.425,2814
13.43333,3000
13.44167,3194
13.45,3395
13.45833,3601
13.46667,3814
13.475,4030
13.48333,4250
13.49167,4473
13.5,4698
13.50833,4923
13.51667,5149
13.525,5374
13.53333,5596
13.54167,5816
13.55,6031
13.55833,6242
13.56667,6447
13.575,6645
13.58333,6836
13.59167,7018
13.6,7192
13.60833,7356
13.61667,7510
13.625,7653
13.63333,7786
13.64167,7906
13.65,8015
13.65833,8112
13.66667,8196
13.675,8267
13.68333,8325
13.69167,8370
13.7,8403
13.70833,8422
13.71667,8429
13.725,8423
13.73333,8404
13.74167,8373
13.75,8329
13.75833,8273
13.76667,8206
13.775,8128
13.78333,8039
13.79167,7939
13.8,7830
13.80833,7711
13.81667,7584
13.825,7448
13.83333,7306
13.84167,7157
13.85,7002
13.85833,6841
13.86667,6675
13.875,6505
13.88333,6332
13.89167,6156
13.9,5978
13.90833,5798
13.91667,5619
13.925,5439
13.93333,5260
13.94167,5081
13.95,4904
13.95833,4729
13.96667,4557
13.975,4388
13.98333,4222
13.99167,4060
14.0,3902
14.00833,3747
14.01667,3598
14.025,3454
14.03333,3314
14.04167,3179
14.05,3049
14.05833,2924
14.06667,2804
14.075,2689
14.08333,2579
14.09167,2474
14.1,2374
14.10833,2280
14.11667,2190
14.125,2104
14.13333,2023
14.14167,1947
14.15,1874
14.15833,1806
14.16667,1741
14.175,1680
14.18333,1623
14.19167,1569
14.2,1519
14.20833,1471
14.21667,1427
14.225,1385
14.23333,1346
14.24167,1309
14.25,1274
14.25833,1242
14.26667,1212
14.275,1184
14.28333,1158
14.29167,1134
14.3,1111
14.30833,1089
14.31667,1069
14.325,1050
14.33333,1032
14.34167,1016
14.35,1001
14.35833,987
14.36667,974
14.375,961
14.38333,949
14.39167,938
14.4,928
14.40833,919
14.41667,910
14.425,901
14.43333,893
14.44167,886
14.45,879
14.45833,873
14.46667,867
14.475,861
14.48333,855
14.49167,850
14.5,845
14.50833,840
14.51667,836
14.525,832
14.53333,828
14.54167,824
14.55,820
14.55833,816
14.56667,813
14.575,810
14.58333,807
14.59167,804
14.6,802
14.60833,799
14.61667,797
14.625,795
14.63333,793
14.64167,791
14.65,789
14.65833,787
14.66667,785
14.675,784
14.68333,782
14.69167,781
14.7,779
14.70833,778
14.71667,776
14.725,775
14.73333,774
14.74167,772
14.75,771
14.75833,770
14.76667,769
14.775,768
14.78333,766
14.79167,765
14.8,765
14.80833,764
14.81667,764
14.825,763
14.83333,762
14.84167,761
14.85,760
14.85833,759
14.86667,758
14.875,758
14.88333,757
14.89167,756
14.9,756
14.90833,755
14.91667,755
14.925,754
14.93333,753
14.94167,753
14.95,753
14.95833,752
14.96667,752
14.975,752
14.98333,751
14.99167,751
15.0,751
15.00833,750
15.01667,750
15.025,750
15.03333,750
15.04167,750
15.05,749
15.05833,748
15.06667,748
15.075,748
15.08333,748
15.09167,748
15.1,748
15.10833,747
15.11667,746
15.125,746
15.13333,745
15.14167,745
15.15,744
15.15833,744
15.16667,744
15.175,744
15.18333,744
15.19167,743
15.2,743
15.20833,743
15.21667,742
15.225,742
15.23333,742
15.24167,742
15.25,741
15.25833,741
15.26667,741
15.275,741
15.28333,741
15.29167,740
15.3,740
15.30833,739
15.31667,739
15.325,739
15.33333,739
15.34167,739
15.35,739
15.35833,739
15.36667,739
15.375,739
15.38333,738
15.39167,738
15.4,737
15.40833,737
15.41667,737
15.425,736
15.43333,736
15.44167,735
15.45,735
15.45833,735
15.46667,735
15.475,735
15.48333,735
15.49167,735
15.5,735
15.50833,735
15.51667,735
15.525,734
15.53333,734
15.54167,734
15.55,734
15.55833,733
15.56667,733
15.575,733
15.58333,733
15.59167,733
15.6,733
15.60833,733
15.61667,732
15.625,733
15.63333,732
15.64167,732
15.65,732
15.65833,731
15.66667,731
15.675,731
15.68333,731
15.69167,731
15.7,731
15.70833,731
15.71667,731
15.725,731
15.73333,730
15.74167,730
15.75,730
15.75833,730
15.76667,729
15.775,729
15.78333,729
15.79167,729
15.8,729
15.80833,729
15.81667,729
15.825,729
15.83333,729
15.84167,729
15.85,729
15.85833,729
15.86667,728
15.875,728
15.88333,728
15.89167,728
15.9,727
15.90833,727
15.91667,727
15.925,727
15.93333,727
15.94167,727
15.95,727
15.95833,726
15.96667,726
15.975,726
15.98333,726
15.99167,726
16.0,726
16.00833,726
16.01667,725
16.025,725
16.03333,725
16.04167,725
16.05,725
16.05833,725
16.06667,725
16.075,724
16.08333,724
16.09167,725
16.1,724
16.10833,724
16.11667,724
16.125,724
16.13333,724
16.14167,724
16.15,724
16.15833,725
16.16667,725
16.175,725
16.18333,725
16.19167,725
16.2,724
16.20833,724
16.21667,723
16.225,723
16.23333,723
16.24167,723
16.25,724
16.25833,724
16.26667,724
16.275,724
16.28333,724
16.29167,724
16.3,723
16.30833,723
16.31667,723
16.325,723
16.33333,723
16.34167,724
16.35,724
16.35833,724
16.36667,724
16.375,724
16.38333,724
16.39167,723
16.4,723
16.40833,723
16.41667,723
16.425,723
16.43333,723
16.44167,723
16.45,723
16.45833,722
16.46667,722
16.475,722
16.48333,722
16.49167,722
16.5,722
16.50833,722
16.51667,722
16.525,722
16.53333,722
16.54167,722
16.55,722
16.55833,722
16.56667,722
16.575,722
16.58333,722
16.59167,722
16.6,722
16.60833,722
16.61667,722
16.625,722
16.63333,722
16.64167,722
16.65,722
16.65833,722
16.66667,722
16.675,722
16.68333,722
16.69167,722
16.7,722
16.70833,722
16.71667,722
16.725,722
16.73333,722
16.74167,722
16.75,722
16.75833,722
16.76667,722
16.775,722
16.78333,722
16.79167,722
16.8,722
16.80833,722
16.81667,722
16.825,722
16.83333,722
16.84167,722
16.85,722
16.85833,722
16.86667,722
16.875,722
16.88333,722
16.89167,722
16.9,722
16.90833,722
16.91667,722
16.925,722
16.93333,722
16.94167,722
16.95,722
16.95833,722
16.96667,722
16.975,722
16.98333,722
16.99167,722
17.0,722
